Run Count Download - Upload - PING Record Time
75 103.733 Mbps - 244.427 Mbps - 11.626 2023-09-26 11:52:16.072838
76 143.922 Mbps - 217.344 Mbps - 11.626 2023-09-26 11:53:17.302150
77 128.459 Mbps - 215.648 Mbps - 11.626 2023-09-26 11:54:18.363376
78 105.047 Mbps - 229.934 Mbps - 11.626 2023-09-26 11:55:19.047509
79 132.197 Mbps - 196.947 Mbps - 11.626 2023-09-26 11:56:20.631045
80 155.102 Mbps - 242.026 Mbps - 11.626 2023-09-26 11:57:20.975200
81 133.765 Mbps - 220.711 Mbps - 11.626 2023-09-26 11:58:21.823539
82 206.318 Mbps - 225.793 Mbps - 11.626 2023-09-26 11:59:22.634731
83 182.209 Mbps - 219.142 Mbps - 11.626 2023-09-26 12:00:23.503503
84 206.582 Mbps - 199.959 Mbps - 11.626 2023-09-26 12:01:25.165766
85 205.652 Mbps - 230.405 Mbps - 11.626 2023-09-26 12:02:26.049563
86 238.973 Mbps - 215.683 Mbps - 11.626 2023-09-26 12:03:27.108767
87 199.147 Mbps - 188.571 Mbps - 11.626 2023-09-26 12:04:29.181220
88 244.177 Mbps - 245.515 Mbps - 11.626 2023-09-26 12:05:29.434146
89 230.682 Mbps - 247.975 Mbps - 11.626 2023-09-26 12:06:29.720615
90 233.704 Mbps - 252.213 Mbps - 11.626 2023-09-26 12:07:29.890679
91 228.905 Mbps - 251.018 Mbps - 11.626 2023-09-26 12:08:30.043089
92 220.06 Mbps - 244.623 Mbps - 11.626 2023-09-26 12:09:30.376687
93 233.317 Mbps - 242.895 Mbps - 11.626 2023-09-26 12:10:30.745320
94 220.382 Mbps - 254.964 Mbps - 11.626 2023-09-26 12:11:30.821586
95 237.397 Mbps - 250.936 Mbps - 11.626 2023-09-26 12:12:30.972419
96 239.468 Mbps - 249.202 Mbps - 11.626 2023-09-26 12:13:31.155320
97 239.856 Mbps - 250.531 Mbps - 11.626 2023-09-26 12:14:31.327891
98 203.572 Mbps - 247.209 Mbps - 11.626 2023-09-26 12:15:31.700591
99 224.497 Mbps - 216.675 Mbps - 11.626 2023-09-26 12:16:32.673667
100 234.123 Mbps - 240.508 Mbps - 11.626 2023-09-26 12:17:33.076815
101 208.168 Mbps - 198.689 Mbps - 11.626 2023-09-26 12:18:34.755238
102 179.405 Mbps - 218.924 Mbps - 11.626 2023-09-26 12:19:35.778234
103 230.178 Mbps - 245.366 Mbps - 11.626 2023-09-26 12:20:36.064622
104 247.589 Mbps - 250.189 Mbps - 11.626 2023-09-26 12:21:36.310257
105 215.411 Mbps - 210.601 Mbps - 11.626 2023-09-26 12:22:37.425590
106 315.71 Mbps - 264.724 Mbps - 11.626 2023-09-26 12:23:37.360236
107 282.632 Mbps - 204.04 Mbps - 11.626 2023-09-26 12:24:38.758563
108 0.0 bps - 0.0 bps - 11.626 2023-09-26 12:25:54.135642
109 404.379 Mbps - 206.67 Mbps - 11.626 2023-09-26 12:26:53.494698
110 396.006 Mbps - 263.473 Mbps - 11.626 2023-09-26 12:27:51.734219
111 234.674 Mbps - 246.267 Mbps - 11.626 2023-09-26 12:28:51.974408
112 218.104 Mbps - 243.869 Mbps - 11.626 2023-09-26 12:29:52.290871
113 164.894 Mbps - 211.089 Mbps - 11.626 2023-09-26 12:30:53.750899
114 240.493 Mbps - 210.403 Mbps - 11.626 2023-09-26 12:31:55.051804
115 214.626 Mbps - 225.568 Mbps - 11.626 2023-09-26 12:32:55.770574
116 209.337 Mbps - 239.652 Mbps - 11.626 2023-09-26 12:33:56.176487
117 185.674 Mbps - 228.799 Mbps - 11.626 2023-09-26 12:34:56.953022
118 199.716 Mbps - 236.458 Mbps - 11.626 2023-09-26 12:35:57.432102
119 226.922 Mbps - 237.629 Mbps - 11.626 2023-09-26 12:36:57.878539
120 189.347 Mbps - 204.225 Mbps - 11.626 2023-09-26 12:37:59.184812
121 229.854 Mbps - 185.438 Mbps - 11.626 2023-09-26 12:39:01.317831
122 180.51 Mbps - 239.467 Mbps - 11.626 2023-09-26 12:40:01.734435
123 198.503 Mbps - 244.755 Mbps - 11.626 2023-09-26 12:41:02.024540
124 224.524 Mbps - 234.498 Mbps - 11.626 2023-09-26 12:42:02.684959
125 221.771 Mbps - 223.366 Mbps - 11.626 2023-09-26 12:43:03.532313
126 221.889 Mbps - 244.609 Mbps - 11.626 2023-09-26 12:44:03.812804
